110;249180090;RUDZICA;Iłownica (2112)
111;250150190;KOWARY;Jedlica (16188)
112;250150220;KARPACZ;Skałka (161844)
113;250150240;PACZYN;Bachorzyna (161154)
114;250150250;PAPROTKI;Bachorzyna (161154)
115;250150260;BUKÓWKA;Bóbr (16)
116;250160070;BORÓW;Ślęza (1336)
117;250160090;PSZENNO;Piława (1344)
118;250160120;LUBOMIN;Dopływ z Lubomina (134822)
119;250160130;SZCZAWNO-ZDRÓJ;Szczawnik (134864)
120;250160150;KAMIENNA GÓRA;Bóbr (16)
121;250160170;LUBACHÓW;Bystrzyca (134)
122;250160190;BOGUSZÓW-GORCE;Lesk (1616)
123;250160260;DZIERŻONIÓW;Piława (1344)
124;250160270;WALIM;Walimka (13418)
125;250160290;CHEŁMSKO ŚLĄSKIE;Zadrna (1614)
126;250160350;SREBRNA GÓRA;Budzówka (1232)
127;250160450;KUDOWA-ZDRÓJ;Klikawa (946)
128;250160480;SŁOSZÓW;Wapienny (12182)
129;250160490;POLANICA-ZDRÓJ;Bystrzyca Dusznicka (1218)
130;250160510;OŁDRZYCHOWICE KŁODZKIE;Biała Lądecka (1216)
131;252210290;RYBIENKO;Bug (266)
132;353210280;MIKOŁAJKI;Jez. Mikołajskie (26439)
133;354220195;SUWAŁKI;Czarna Hańcza (64)
134;350170530;OPOLE;Odra (1)
135;350190566;KRAKÓW-BALICE;Wisła (2)
136;349190625;ZAKOPANE;Dunajec (214)
137;352150300;GORZÓW WIELKOPOLSKI;Warta (18)
138;351180435;KALISZ;Prosna (184)
139;352180345;KOŁO;Warta (18)
140;353160230;PIŁA;Gwda (1886)
141;352160330;POZNAŃ-ŁAWICA;Warta (18)
142;352140310;SŁUBICE;Odra (1)
143;353160215;SZCZECINEK;Gwda (1886)
144;351180455;WIELUŃ;Warta (18)
145;353170235;CHOJNICE;Brda (292)
146;354160105;KOSZALIN;Dzierżęcinka (45614)
147;350150500;JELENIA GÓRA;Bóbr (16)
148;351160415;LEGNICA;Kaczawa (138)
149;351160418;LESZNO;Strzyżewicki Rów (14884)
150;350150510;ŚNIEŻKA;Łomniczka (16184)
151;351160424;WROCŁAW;Odra (1)
152;250190470;KRAKÓW-WOLA JUSTOWSKA;Wisła (2)
153;253160010;SĘPOLNO WIELKIE;Biała (188624)
154;253160020;OSÓWKO;Parsęta (44)
155;253160110;JASTROWIE;Gwda (1886)
156;253170060;ZAPĘDOWO;Brda (292)
157;253170160;SYPNIEWO;Łobżonka (1884)
158;253180040;STAROGARD GDAŃSKI;Wierzyca (298)
159;253180060;CZARNA WODA;Wda (294)
160;253180090;ŚLIWICE;Wda (294)
161;253180150;GRUDZIĄDZ;Wisła (2)
162;253180220;BYDGOSZCZ;Brda (292)
163;253190030;DOBROCIN;Drwęca (28)
164;253190070;PRABUTY;Nogat (52)
165;253190220;LIDZBARK;Wel (286)
166;253210130;SZCZYTNO;Omulew (2654)
167;253210170;ROZOGI;Szkwa (26518)
168;253210210;MYSZYNIEC;Rozoga (2652)
169;253210260;ZARUZIE;Ruż (26516)
170;253220080;DĘBOWO;Biebrza (262)
171;253220130;RADZIŁÓW;Wissa (26296)
172;253220160;BURZYN;Biebrza (262)
173;253220210;TYKOCIN;Narew (26)
174;253220220;ZAWADY;Ślina (26194)
175;253220270;JABŁONOWO-WYPYCHY;Ślina (26194)
176;253230020;RÓŻANYSTOK;Sidra (26214)
177;253230030;JANÓW;Brzozówka (2624)
178;253230060;JAŁÓWKA;Sokołda (26162)
179;253230110;FASTY;Supraśl (2616)
180;249180180;USTROŃ-RÓWNICA-WIEŚ;Wisła (2)
181;249190320;LUBOŃ WIELKI;Raba (2138)
182;249200020;ŁAZY;Gróbka (21394)
183;250160030;BOLKÓW;Nysa Szalona (1384)
184;250160620;KAMIENICA;Kamienica (121624)
185;251200150;ŁAZISKA;Radomka (252)
186;252210240;WIELGOLAS;Wisła (2)
187;249200310;KOWANIEC;Dunajec (214)
188;249210120;NOWY ŻMIGRÓD;Wisłoka (218)
189;249210190;WISŁOCZEK;Wisłok (226)
190;249220240;ŻUBRACZE;San (22)
191;254190020;NOWA PASŁĘKA;Zalew Wiślany (5119)
192;254220020;ŻABIN;Węgorapa (582)
193;254220030;GOŁDAP;Gołdapa (5824)
194;254220060;BANIE MAZURSKIE;Gołdapa (5824)
195;349190650;KASPROWY WIERCH;Dunajec (214)
196;349200660;NOWY SĄCZ;Dunajec (214)
197;349210670;KROSNO;Wisłok (226)
198;349220690;LESKO;San (22)
199;349220695;PRZEMYŚL;San (22)
200;350190550;CZĘSTOCHOWA;Warta (18)
201;350190560;KATOWICE;Rawa (21268)
202;350200570;KIELCE-SUKÓW;Czarna Nida (2164)
203;350200575;TARNÓW;Biała (2148)
204;350210585;SANDOMIERZ;Wisła (2)
205;350220580;RZESZÓW-JASIONKA;Wisłok (226)
206;350230595;ZAMOŚĆ;Wieprz (24)
207;351190469;SULEJÓW;Pilica (254)
208;351210488;KOZIENICE;Wisła (2)
209;351230497;WŁODAWA;Bug (266)
210;352190360;PŁOCK;Wisła (2)
211;352220385;SIEDLCE;Liwiec (2668)
212;353140205;SZCZECIN;Odra (1)
213;353150210;RESKO-SMÓLSKO;Rega (42)
214;353180250;TORUŃ;Wisła (2)
215;353200270;MŁAWA;Wkra (268)
216;353200272;OLSZTYN;Łyna (584)
217;353210285;OSTROŁĘKA;Narew (26)
218;353230295;BIAŁYSTOK;Biała (26168)
219;354150100;KOŁOBRZEG-DŹWIRZYNO;Jez. Resko Przymorskie (43219)
220;354160115;USTKA;Bałtyk (0)
221;354170125;LĘBORK;Łeba (476)
222;354180135;HEL;Bałtyk (0)
223;354210185;KĘTRZYN;Guber (5848)
224;250190170;KRĘCIWILK;Warta (18)
225;250190220;ŁAZY;Przemsza (212)
226;250190290;OLEWIN;Biała Przemsza (2128)
227;250190310;MACZKI;Biała Przemsza (2128)
228;250200010;BARTKÓW;Czarna Nida (2164)
229;250200040;BODZENTYN;Pokrzywianka (23484)
230;250200110;CISÓW;Czarna (2178)
231;250200130;KLISZÓW;Nida (216)
232;250200210;MIECHÓW;Nidzica (21398)
233;250200230;BORUSOWA;Wisła (2)
234;250200250;RADZIEMICE;Szreniawa (21392)
235;250200280;IGOŁOMIA;Wisła (2)
236;250200290;BORZĘCIN;Uszwica (21396)
237;250210020;NOSÓW;Pokrzywianka (23484)
238;250210030;ANNOPOL;Wisła (2)
239;250210070;BARANÓWEK;Koprzywianka (2194)
240;250210080;SADKÓW;Czarna (2178)
241;250210090;JASTRZĘBSKA WOLA;Czarna (2178)
242;250210130;STASZÓW;Czarna (2178)
243;250210160;MAJDAN KRÓLEWSKI;Łęg (2198)
244;250210170;WILCZA WOLA;Łęg (2198)
245;250210210;MIELEC;Wisłoka (218)
246;250210220;KOLBUSZOWA;Łęg (2198)
247;250210230;RADOMYŚL WIELKI;Breń (2174)
248;250210240;ZAWADA;Brzeźnica (2188)
249;250220030;WYSOKIE;Pór (24174)
250;250220050;ZAKŁODZIE;Pór (24174)
251;250220080;FRAMPOL;Łada (2286)
252;250220120;JAROCIN;Bukowa (2294)
253;250220130;BRODZIAKI;Czarna Łada (22862)
254;250220140;TARNOGRÓD;Tanew (228)
255;250220210;JAROSŁAW;San (22)
256;250230020;NIELISZ;Wieprz (24)
257;250230060;JÓZEFÓW;Tanew (228)
258;250230140;WIELKIE OCZY;Szkło (2254)
